"index";"jogoMiolosDesigner"
1455;"Matteo Santus"
1458;"Herschel Hoffmeyer"
1459;"Andrew Wolf"
1462;"Lincoln Castro"
1465;"Rennan Gonçalves"
1467;"Tom Wham"
1468;"Shadi Torbey"
1475;"Emmanuel Aquin"
1477;"David J. Mortimer"
1478;"Chris Darden"
1480;"Bruce Glassco"
1481;"Tony Cimino"
1483;"Luis Francisco"
1485;"Ken Fisher"
1486;"Charles Chevallier"
1487;"Volko Ruhnke"
1488;"Gustavo Lopes"
1489;"Roland MacDonald"
1492;"Ben Pinchback"
1493;"Brian Henk"
1495;"Julien Vergonjeanne"
1497;"Eduardo Myr"
1501;"Rui Alípio Monteiro"
1504;"Hoby Chou"
1505;"Darwin Kastle"
1511;"紅陽 (Kouyou)"
1512;"USAopoly"
1515;"Xalingo Brinquedos"
1516;"D. Brad Talton, Jr."
1518;"Rudi Hoffmann"
1523;"Chih-Fan Chen"
1526;"Verônica Saiki"
1530;"Mark Simonitch"
1535;"Glenn Ford"
1536;"Eduardo Andrade"
1541;"Roberto Grasso"
1544;"Marc Voyer"
1545;"Justin Blaske"
1546;"Jeff Grubb"
1548;"Francesco Testini"
1549;"Andrew Parks"
1551;"Martin Kallenborn"
1554;"Gabriel Ecoutin"
1556;"Alex Tzimisce"
1558;"Richard Breese"
1559;"John Bohrer"
1562;"Krzysztof Zięba"
1563;"Dan Schnake"
1564;"Roberto Mancino"
1565;"Randall N. Bills"
1566;"Naotaka Shimamoto"
1568;"Henri Kermarrec"
1572;"Segundo Santos"
1578;"David Mendes"
1581;"Eurico Cunha Neto"
1583;"Asger Sams Granerud"
1584;"Paolo Parente"
1585;"Roy Parsons"
1588;"Jason Matthews"
1597;"Joseph Fatula"
1599;"Gordon Lamont"
1600;"David Sirlin"
1601;"Pantelis Bouboulis"
1602;"Michael Shinall"
1603;"Charlie Bink"
1604;"Dwight Sullivan"
1607;"Luka Krleza"
1613;"Luke Laurie"
1614;"Justin Oh"
1615;"Emely Brand"
1620;"Renato Simões"
1622;"Robert Burke"
1623;"Isabel Butcher"
1624;"Adam Carlson"
1625;"Caetano Foschini"
1627;"ThinkFun"
1628;"Dirk Knemeyer"
1629;"Marco Montanaro"
1631;"Anthony E. Pratt"
1632;"(Self-published)"
1633;"Ankama"
1634;"Hasbro do Brasil"
1637;"Chad Brown"
1638;"Igor Larsen Soares"
1642;"Timothy B. Brown"
1645;"Chris Taylor"
1649;"Julian Allain"
1653;"Friedemann Findeisen"
1656;"Víctor Fernández"
1658;"Koichi Ooyama"
1659;"João Toledo"
1660;"Chris Cieslik"
1661;"Aron Palo"
1662;"Jeremy Holcomb"
1663;"Klaus Palesch"
1664;"Fran Diaz"
1667;"Carl Brière"
1671;"Brian Suhre"
1676;"Josh Cappel"
1678;"Rafał Cywicki"
1690;"Mauricio V. Gibrin"
1692;"Connor Reid"
1695;"Jakob Bonds"
1698;"Brady Sadler"
1700;"Nate Chatellier"
1701;"Renato Keiteris"
1702;"Anthony J. Gallela"
1704;"Haakon Gaarder"
1706;"Anne-Marie De Witt"
1710;"Francisco Gallego Arredondo"
1712;"Michael Loyko"
1714;"Evan Derrick"
1715;"Alain Ollier"
1716;"James Vaughan"
1717;"Christophe Madura"
1721;"Yann et Clem"
1724;"Isaac Vega"
1725;"Yeon-Min Jung"
