"index";"jogoMiolosArtista"
2079;"Chris Leder"
2081;"Jochen Frick"
2088;"Mayfair Games"
2089;"Mehdi Merrouche"
2091;"Studio71"
2092;"Roc Espinet"
2098;"Mogel-Verlag (Cheat Publishing)"
2099;"Mafele Promoções"
2104;"Wesly Gibs"
2106;"Vinicius Ragusa"
2107;"Ricardo Meira Carneiro"
2108;"Andrea Köhrsen"
2110;"Marc-Antoine Allard"
2111;"Potato Cat"
2113;"Felicia Cano"
2114;"Zak Eidsvoog"
2116;"Francesco Ciampi"
2121;"Lucy Mazel"
2126;"Daniel Solis"
2128;"Scott Fleenor"
2134;"Daniel Gelon"
2144;"Valeria Gobbi"
2146;"Dann May"
2148;"Enggar Adirasa"
2154;"Konstantin Zheludev"
2160;"Reinaldo E. Fukuda"
2161;"Nick Edwards"
2165;"Daniele Barletta"
2166;"Will Marconi"
2170;"Todd Hamilton"
2172;"Koza Novinsky"
2173;"Przemysław Świerczyński"
2175;"Vincent Kim"
2184;"Tim Harrison"
2185;"Kristi Harmon"
2186;"Markku Laine"
2189;"Solomon Au Yeung"
2190;"Júlio Omena"
2192;"Justin Albers"
2196;"Alex Figini"
2197;"Jean Baer"
2199;"Alexey Kot"
2204;"Thierry Masson"
2206;"Rolland Barthélémy"
2211;"Benjamin Shulman"
2220;"Wee Yee Chong"
2222;"Trama Editora"
2223;"Ted Nasmith"
2226;"Gamewright"
2227;"Blue Orange Games"
2228;"Bruno Faidutti"
2234;"Stéphane Poinsot"
2238;"Casey Davies"
2240;"Bia Bock"
2242;"Maryline Weyl"
2243;"Jacoby O'Connor"
2251;"Le Mille-Pattes"
2252;"Antonio Eder"
2253;"Richard Borg"
2255;"Sebastian Koziner"
2257;"Szőgyi Attila"
2258;"Daniel de Sant'anna"
