"id";"gameRank";"gameName";"notaRank";"notaMedia";"qtNotas";"url"
"758";"758º";"Tawantinsuyu: O Império Inca";7.38;8.43;48;"https://ludopedia.com.br/jogo/tawantinsuyu-the-inca-empire"
"759";"759º";"Córtex: Desafios!";7.38;7.61;215;"https://ludopedia.com.br/jogo/cortex"
"760";"760º";"Royals";7.38;8.38;50;"https://ludopedia.com.br/jogo/royals"
"761";"761º";"Manopla do Infinito: Um jogo Love Letter";7.38;7.71;150;"https://ludopedia.com.br/jogo/infinity-gauntlet-a-love-letter-game"
"762";"762º";"Claim";7.38;7.53;327;"https://ludopedia.com.br/jogo/claim"
"763";"763º";"The Castles of Tuscany";7.38;8.15;65;"https://ludopedia.com.br/jogo/the-castles-of-tuscany"
"764";"764º";"Tuki";7.37;7.66;173;"https://ludopedia.com.br/jogo/tuki"
"765";"765º";"Cooper Island";7.37;8.43;47;"https://ludopedia.com.br/jogo/cooper-island"
"766";"766º";"KeyForge: Era da Ascensão";7.37;7.72;144;"https://ludopedia.com.br/jogo/keyforge-age-of-ascension"
"767";"767º";"Cuba Libre";7.37;8.62;40;"https://ludopedia.com.br/jogo/cuba-libre"
"768";"768º";"Between Two Cities";7.37;7.7;150;"https://ludopedia.com.br/jogo/between-two-cities"
"769";"769º";"Glory to Rome";7.37;8.09;69;"https://ludopedia.com.br/jogo/glory-to-rome"
"770";"770º";"Otys";7.37;7.8;115;"https://ludopedia.com.br/jogo/otys"
"771";"771º";"ZhanGuo";7.36;8.4;48;"https://ludopedia.com.br/jogo/zhanguo"
"772";"772º";"Piratas!";7.36;7.59;216;"https://ludopedia.com.br/jogo/piratas"
"773";"773º";"Paleo";7.36;8.64;39;"https://ludopedia.com.br/jogo/paleo"
"774";"774º";"Gardens";7.36;7.51;339;"https://ludopedia.com.br/jogo/gardens"
"775";"775º";"O Vale dos Mercadores";7.36;7.69;150;"https://ludopedia.com.br/jogo/dale-of-merchants"
"776";"776º";"Fury of Dracula (second edition)";7.36;8.0;77;"https://ludopedia.com.br/jogo/fury-of-dracula-second-edition"
"777";"777º";"Ca$h 'n Guns (second edition)";7.36;7.44;581;"https://ludopedia.com.br/jogo/ca-h-n-guns-second-edition"
"778";"778º";"Rio 1808";7.36;8.9;32;"https://ludopedia.com.br/jogo/rio-1808"
"779";"779º";"Gentes";7.36;8.29;53;"https://ludopedia.com.br/jogo/gentes"
"780";"780º";"Bang!";7.36;7.41;844;"https://ludopedia.com.br/jogo/bang"
"781";"781º";"Last Friday";7.36;7.58;216;"https://ludopedia.com.br/jogo/last-friday"
"782";"782º";"Die Macher";7.36;8.65;38;"https://ludopedia.com.br/jogo/die-macher"
"783";"783º";"Smash Up";7.35;7.44;606;"https://ludopedia.com.br/jogo/smash-up"
"784";"784º";"Tiny Epic Western";7.35;7.8;111;"https://ludopedia.com.br/jogo/tiny-epic-western"
"785";"785º";"Game of Thrones: O Trono de Ferro";7.35;7.6;198;"https://ludopedia.com.br/jogo/game-of-thrones-the-iron-throne"
