"id";"gameRank";"gameName";"notaRank";"notaMedia";"qtNotas";"url"
"649";"649º";"Ulm";7.49;8.03;101;"https://ludopedia.com.br/jogo/ulm"
"650";"650º";"Encantados";7.49;7.65;337;"https://ludopedia.com.br/jogo/encantados"
"651";"651º";"Age of Empires III: The Age of Discovery";7.49;8.07;94;"https://ludopedia.com.br/jogo/age-of-empires-iii-the-age-of-discovery"
"652";"652º";"Kingsburg";7.49;7.7;256;"https://ludopedia.com.br/jogo/kingsburg"
"653";"653º";"Mr. Jack";7.49;7.63;379;"https://ludopedia.com.br/jogo/mr-jack"
"654";"654º";"Argent: The Consortium";7.49;8.34;64;"https://ludopedia.com.br/jogo/argent-the-consortium"
"655";"655º";"Star Wars: X-Wing (Second Edition)";7.49;8.46;56;"https://ludopedia.com.br/jogo/star-wars-x-wing-second-edition"
"656";"656º";"Pôquer";7.49;7.65;342;"https://ludopedia.com.br/jogo/poker"
"657";"657º";"The Golden Ages";7.48;8.16;80;"https://ludopedia.com.br/jogo/the-golden-ages"
"658";"658º";"Valknut";7.48;7.9;129;"https://ludopedia.com.br/jogo/valknut"
"659";"659º";"Stella: Universo Dixit";7.48;8.14;83;"https://ludopedia.com.br/jogo/stella-dixit-universe"
"660";"660º";"Rummikub";7.48;7.58;586;"https://ludopedia.com.br/jogo/rummikub"
"661";"661º";"KeyForge: O Chamado De Arcontes";7.48;7.67;289;"https://ludopedia.com.br/jogo/keyforge-call-of-the-archons"
"662";"662º";"Tsuro";7.48;7.57;625;"https://ludopedia.com.br/jogo/tsuro"
"663";"663º";"Battle Line";7.48;7.86;142;"https://ludopedia.com.br/jogo/battle-line"
"664";"664º";"Watergate";7.48;8.25;70;"https://ludopedia.com.br/jogo/watergate"
"665";"665º";"Freedom: The Underground Railroad";7.48;8.71;44;"https://ludopedia.com.br/jogo/freedom-the-underground-railroad"
"666";"666º";"IceCool";7.48;7.69;255;"https://ludopedia.com.br/jogo/ice-cool"
"667";"667º";"Mechs vs. Minions";7.48;8.46;55;"https://ludopedia.com.br/jogo/mechs-vs-minions"
"668";"668º";"Agricola: Family Edition";7.48;8.38;60;"https://ludopedia.com.br/jogo/agricola-family-edition"
"669";"669º";"Twice As Clever";7.47;8.32;64;"https://ludopedia.com.br/jogo/twice-as-clever"
"670";"670º";"Quissama: O império dos capoeiras";7.47;7.7;239;"https://ludopedia.com.br/jogo/quissama-o-imperio-dos-capoeiras"
"671";"671º";"The Great Zimbabwe";7.47;8.33;63;"https://ludopedia.com.br/jogo/the-great-zimbabwe"
"672";"672º";"The Mind";7.47;7.54;840;"https://ludopedia.com.br/jogo/the-mind"
"673";"673º";"For Sale";7.47;7.58;484;"https://ludopedia.com.br/jogo/for-sale"
"674";"674º";"Homem Batata";7.47;7.79;169;"https://ludopedia.com.br/jogo/potato-man"
"675";"675º";"Sereias";7.47;8.19;75;"https://ludopedia.com.br/jogo/sereias"
"676";"676º";"Shipyard";7.47;8.35;61;"https://ludopedia.com.br/jogo/shipyard"
"677";"677º";"CIV: Carta Impera Victoria";7.47;7.76;185;"https://ludopedia.com.br/jogo/civ-carta-impera-victoria"
"678";"678º";"Dwar7s: Inverno";7.47;7.89;128;"https://ludopedia.com.br/jogo/dwar7s-winter"
"679";"679º";"Dobro";7.47;8.07;89;"https://ludopedia.com.br/jogo/dobro"
"680";"680º";"Cidades Sombrias: Salem 1692";7.47;8.32;63;"https://ludopedia.com.br/jogo/salem-1692"
"681";"681º";"Dominant Species: Marine";7.47;8.75;42;"https://ludopedia.com.br/jogo/dominant-species-marine"
"682";"682º";"Marvel Battlegrounds";7.47;8.05;92;"https://ludopedia.com.br/jogo/marvel-battlegrounds"
"683";"683º";"Crusaders: Thy Will Be Done";7.47;7.98;104;"https://ludopedia.com.br/jogo/crusaders-thy-will-be-done"
"684";"684º";"Starcadia Quest";7.47;8.81;40;"https://ludopedia.com.br/jogo/starcadia-quest"
"685";"685º";"Scout";7.47;8.46;54;"https://ludopedia.com.br/jogo/scout"
"686";"686º";"Belfort";7.46;7.96;109;"https://ludopedia.com.br/jogo/belfort"
"687";"687º";"Pandemic: Resposta Rápida";7.46;7.84;143;"https://ludopedia.com.br/jogo/pandemic-rapid-response"
"688";"688º";"Pipeline";7.46;8.12;81;"https://ludopedia.com.br/jogo/pipeline"
"689";"689º";"Star Trek: Ascendancy";7.46;9.13;32;"https://ludopedia.com.br/jogo/star-trek-ascendancy"
"690";"690º";"Last Night on Earth: The Zombie Game";7.46;7.72;209;"https://ludopedia.com.br/jogo/last-night-on-earth-the-zombie-game"
